X,Y
109.75,74.02
108.65,73.93
35.87,72.82
36.62,72.63
38.34,73.92
39.37,72.64
18.42,68.61
19.4,68.29
20.03,66.23
21.01,65.41
22.63,64.45
115.17,58.51
115.6,57.23
44.9,53.87
65.4,12.33
66.49,11.69
37.31,75.75
105.97,72.5
64.21,72.36
51.91,72.25
65.98,71.49
51.57,70.67
113.45,70.99
63.28,69.77
38.29,69.81
35.97,66.51
116.49,66.02
58.94,64.06
53.23,63.94
46.48,63.16
116.02,61.81
116.63,58.42
45.82,56.97
37.83,56.95
64.06,55.22
109.41,52.08
99.83,51.26
100.22,49.87
109.09,47.76
103.8,46.95
108.43,45.13
97.76,44.97
102.91,44.06
107.64,43.77
101.18,40.02
107.43,39.44
103.59,39.54
106.82,38.09
68.4,36.69
66.81,19.16
59.49,17.8
29.69,11.94
47.89,10.84
56.6,10.45
