Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\Sadman\Downloads\crop.jpg", 0,441.56,1575.42,0,0,3,61,6,30,73,224.689,213.148,200.574,10.6827,9.71373,9.03978, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,433.9,1573.2,0,0,3,86,6,32,62,220.779,210.64,198.895,9.89134,9.25595,8.87996, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,399.5,1574,0,0,2,122,7,44,53,233.926,231.418,222.623,18.2052,19.2028,18.5131, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,411,1572.5,0,0,2,84,6,26,54,229.024,221.19,214.536,12.6945,10.9217,10.1579, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,2344,1584,0,0,2,258,10,96,33,235.422,237.651,233.205,18.4508,19.5345,19.8854, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 0,2197.5,1565,0,0,2,42,4,44,77,233.095,227.619,213.881,6.80562,6.71111,7.82154, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2070.79,1399.19,1,0,2,389,12,48,22,181.306,178.008,166.653,12.1835,11.5817,8.76753, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,2050,1397.5,1,0,2,487,13,52,25,179.889,178.099,163.639,13.7974,12.0911,9.02389, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,676.85,1376.55,1,0,4,189,10,42,33,166.725,158.656,141.127,7.05167,5.26295,4.97143, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,691,1373,1,0,4,29,4,42,26,160.759,155.069,140.448,2.90562,2.77979,3.0609, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,723.335,1397.27,1,0,3,416,14,76,51,210.37,215.334,195.3,16.9729,14.7726,11.1888, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,742.742,1373.19,1,0,3,541,14,82,26,187.189,191.505,178.059,16.1597,14.975,12.5587, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,347.5,1297,1,0,3,48,4,42,35,169.896,162.042,142.896,4.26113,2.97862,3.27523, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,366,1291,1,0,3,241,10,36,32,176.888,168.427,154.506,10.7334,7.3589,5.99055, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,378,1252,1,0,3,556,16,68,15,190.813,192.043,184.442,26.4985,23.9568,19.5085, "2021-08-31 [2:49:34 PM]: no comment"
"C:\Users\Sadman\Downloads\crop.jpg", 1,396.5,1236.5,1,0,3,773,17,68,21,209.36,209.739,201.635,30.578,27.8741,21.3901, "2021-08-31 [2:49:34 PM]: no comment"
