Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,335.5,1898,0,0,2,32,4,24,100,224.313,200.438,184.313,2.56998,2.4987,2.50909, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,316,1898,0,0,2,189,9,22,112,228.661,203.434,188.291,7.43335,6.43865,7.10533, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2229.4,1888.83,0,0,2,329,11,32,113,229.991,211.112,190.043,13.2652,16.4454,14.9726, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2245.29,1883.98,0,0,2,272,10,32,120,230.61,211.29,188.434,12.9344,19.3357,17.2556, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2560,1867,0,0,2,189,8,60,45,241.376,240.989,234.772,2.30997,2.96797,4.90307, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2545.5,1865,0,0,2,171,8,50,72,240.889,238.971,230.339,2.58001,3.89672,6.12552, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1058.4,1856.48,0,0,2,85,7,22,78,192.894,159.424,138.388,7.83937,6.11601,4.4474, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1064,1848.5,0,0,2,89,6,24,79,194.989,161.888,140.899,5.81919,5.40234,3.64382, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,609.266,1725.52,0,0,2,90,7,38,149,231.922,208.822,167.322,11.3088,21.3484,17.0304, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,603.5,1719,0,0,2,118,7,46,157,235.415,219.542,171.254,13.4399,22.0981,17.2841, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2524.5,1471,0,0,2,86,6,32,117,230.605,212.395,189.512,13.3649,12.2263,10.9694, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,2519.5,1445,0,0,2,46,4,42,85,239.239,234.152,223.457,14.2258,16.0838,19.12, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,949.58,1207.5,1,0,3,799,20,38,50,158.468,140.275,110.631,15.0305,9.52468,3.97803, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,973,1185.5,1,0,3,672,19,38,47,155.256,138.753,110.107,14.8641,9.25027,3.64189, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 1,849.5,905.5,1,0,2,92,6,34,61,168.739,146.283,114.522,2.89318,2.52034,2.44822, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,59,263,0,0,2,189,8,56,150,242.201,239.243,205.079,3.16313,6.21942,10.7133, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1442,209.5,0,0,2,22,4,32,79,202.227,178.636,154.455,12.2692,11.3816,8.04355, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,380.5,161,0,0,10,276,10,26,94,198.362,159.591,130.848,9.99512,7.0925,4.7656, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,410,153,0,0,10,134,7,24,68,177.963,144.836,121.896,3.21058,3.14822,3.12402, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,393.75,150.75,0,0,10,215,9,26,86,191.07,154.344,126.298,10.7899,8.17312,5.69881, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,385.5,140.5,0,0,10,285,10,26,70,181.354,148.968,125.302,5.64124,4.55247,3.27423, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,388,127,0,0,10,54,5,24,63,175.519,144.352,124.333,3.14079,2.64607,2.79505, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1195.5,100,0,0,2,53,5,24,104,230.717,211.302,198.377,9.57019,10.2442,10.4634, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1216.5,99,0,0,3,27,4,12,57,207.963,185.63,181.481,12.1803,10.1698,9.35938, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1295.31,97.4615,0,0,2,60,6,20,58,202.383,181.3,170.75,13.7464,12.8199,10.9476, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1301,96,0,0,2,42,5,16,64,208.524,186.048,177.714,16.1127,14.858,13.8532, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1478.5,94,0,0,2,44,4,18,63,214.773,196.841,188.955,10.6008,11.5161,11.1466, "2021-08-31 [10:52:46 AM]: no comment"
"C:\Users\Sadman\Pictures\Sadman\code\oi-cv\real\real2.jpg", 0,1484.5,92.5,0,0,2,59,5,12,59,214.966,196.356,191.492,12.3675,10.0099,11.3586, "2021-08-31 [10:52:46 AM]: no comment"
